,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgien,2032,2067,2516,2347,2367,2155,2332,2614,2601,2443,2579,2713,3017,2758,2856,2932,3238,3922,4187,3890,3874,4224,4991,5397,5852,5608,6094,4393
Deutschland,19307,20907,21593,21401,22440,22912,22335,24696,26287,27231,29174,30014,29043,29224,30922,31692,36396,41920,42549,36059,39278,41956,43893,42047,43440,39661,42734,45166
Frankreich,8748,8465,8726,8503,8802,9166,9185,9980,10875,11093,11956,12386,13081,12417,13512,14136,15854,17216,18523,15686,15578,14865,21876,19186,17317,16804,17287,17230
Italien,7850,7635,8058,7255,7135,7300,7409,8243,8783,9588,10461,11039,12767,12783,13712,14816,16331,17973,18770,15808,15981,16290,16784,16831,16160,14936,14390,15849
Niederlande,2392,2396,2525,2558,2554,2589,2577,2892,3339,3799,4152,4223,4171,4485,4463,5548,6076,6226,6324,5363,5781,5151,5177,5364,5240,4820,5164,5346
Österreich,3266,3333,3365,3551,3431,3429,3026,3383,3574,3871,4158,4473,4740,4661,4901,5169,5848,6316,5999,5478,6469,6626,8040,8320,7840,7527,7237,8134
Polen,304,407,416,401,470,559,660,838,904,1007,1132,1210,1157,1144,1346,1419,1741,2166,2447,1819,2069,1976,1894,2082,2209,2104,2174,2249
Russland,0,0,267,327,430,365,429,593,525,355,556,833,885,1079,1212,1555,2245,2926,3180,2131,2690,3011,2964,3143,2908,2305,2018,2261
Spanien,1880,2073,2176,1860,1901,2023,2202,2703,3214,3493,3773,4353,4547,4904,5976,6595,6973,7574,7388,6528,6372,5797,5510,5346,5846,5385,5572,5794
Türkei,811,686,684,862,583,947,1145,1459,1332,1063,1412,1203,1676,1693,1997,2054,2321,2639,2471,1803,2112,2147,4126,8250,4490,2489,2307,6040
Ver. Königreich,6573,5811,6063,6409,6360,5861,6208,6402,6751,6604,7689,7677,7289,6768,7677,8803,8954,10529,11116,9428,12033,9953,28281,12307,12636,13089,31976,16734