Ort,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Zürich,16281,15609,14537,13762,13479,12513,12135,11805,11973,12004,12359,12325,12494,12285,12198,12284,12398,12320,12542,12743,12905,13067,13179,12822,12769,12809,12963,12892,12873,12917,13211,12442,12746,12759,13242,13296,13533,13850,14480,14879,15297,15592,15794,15996,16884,16866,17051,17070
Bern,13832,13429,12871,12129,11776,10953,10468,10206,10099,10057,10197,10442,10401,10206,10168,10172,10277,10164,10905,10674,11104,11210,11279,10650,10554,10373,10322,9796,9560,9569,9365,8613,8498,8404,8706,8595,8557,8749,9020,9192,9381,9325,9658,9587,9731,10072,10113,10141
Luzern,5213,5123,4748,4470,4196,4012,3829,3802,3724,3625,3792,3747,3988,3905,4034,3887,4084,4070,4200,4248,4520,4615,4650,4556,4348,4397,4487,4261,4051,4167,3894,3468,3535,3436,3478,3436,3579,3638,3815,3839,3912,4036,4087,4065,4153,4192,4265,4384
Uri,624,606,627,601,595,540,511,517,468,500,485,438,446,440,464,425,491,475,439,444,484,445,478,453,445,439,450,408,413,404,413,346,368,336,350,315,344,327,331,351,350,326,368,325,324,322,332,350
Schwyz,1765,1742,1624,1525,1573,1398,1378,1308,1325,1420,1415,1358,1457,1431,1428,1425,1496,1473,1554,1506,1650,1621,1686,1667,1668,1706,1652,1653,1521,1552,1577,1366,1432,1525,1512,1462,1422,1401,1542,1451,1467,1417,1578,1542,1545,1607,1559,1510
Obwalden,448,435,431,403,398,386,376,377,357,372,393,400,402,346,397,396,402,395,427,413,412,429,418,412,396,400,381,398,402,392,378,339,323,319,341,304,351,363,354,363,347,380,383,340,395,359,370,377
Nidwalden,498,476,401,432,452,428,400,426,412,371,417,453,402,461,444,477,450,469,487,468,496,523,518,471,468,443,442,425,431,418,420,369,377,375,374,379,372,364,386,353,373,374,366,392,377,426,398,418
Glarus,588,582,531,521,495,506,434,449,414,448,488,491,469,509,531,484,467,482,518,501,457,523,508,467,508,458,469,433,427,388,380,360,331,370,330,329,354,357,330,320,322,340,366,392,378,409,414,378
Zug,1208,1235,1218,1227,1078,1022,978,943,950,990,981,967,985,928,976,1025,1046,1050,1058,1115,1067,1072,1116,1088,1140,1145,1176,1177,1184,1101,1217,1105,1065,1157,1102,1143,1154,1145,1164,1166,1165,1200,1201,1258,1284,1295,1377,1257
Freiburg,3116,2988,3034,2874,2757,2522,2402,2320,2148,2267,2260,2271,2270,2251,2388,2405,2519,2458,2601,2758,2923,3077,3162,3109,3106,3055,3146,3020,3032,2934,2918,2850,2684,2812,2782,2745,2803,2792,2895,3029,3087,3147,3131,3166,3369,3391,3501,3428
Solothurn,3721,3542,3199,3008,2990,2821,2650,2433,2382,2509,2447,2581,2590,2557,2557,2505,2446,2491,2717,2701,2841,2809,2803,2777,2642,2550,2654,2608,2481,2517,2430,2193,2237,2164,2195,2212,2057,2181,2184,2222,2266,2360,2401,2373,2418,2536,2591,2555
Basel-Stadt,2636,2450,2331,2078,2023,1921,1662,1690,1642,1622,1703,1643,1875,1709,1752,1720,1797,1758,1781,1727,1843,1964,1918,1985,1985,1854,1959,1821,1789,1729,1695,1535,1589,1619,1606,1629,1613,1617,1656,1731,1859,1848,1905,1894,1996,2032,2076,2069
Basel-Landschaft,3829,3736,3594,3414,3215,2909,2722,2704,2593,2561,2626,2599,2788,2656,2713,2730,2718,2719,2786,2786,2778,2677,2776,2605,2564,2581,2622,2575,2575,2553,2485,2334,2298,2285,2265,2268,2244,2334,2348,2395,2449,2451,2494,2380,2534,2550,2608,2694
Schaffhausen,1094,1063,944,930,868,786,825,775,735,705,776,802,833,780,768,800,774,827,853,870,819,856,853,848,866,810,794,820,717,739,693,619,632,666,604,626,601,653,612,660,630,699,711,734,725,700,758,747
Appenzell A.Rh.,743,716,656,620,625,577,559,563,556,576,602,627,685,641,687,667,698,634,694,716,694,736,772,758,696,693,673,647,645,589,559,503,467,456,458,448,448,441,489,466,505,517,538,498,537,558,586,564
Appenzell I.Rh.,223,237,239,218,214,194,197,167,179,177,178,189,220,221,217,210,219,200,231,222,247,245,260,260,233,214,220,229,201,190,184,176,185,160,151,150,153,170,166,163,159,177,171,180,166,181,186,186
St. Gallen,6927,6710,6074,5988,5690,5308,5012,4944,4870,5029,5237,5105,5277,5203,5267,5317,5336,5492,5579,5666,5812,6129,6006,5645,5671,5449,5491,5254,5310,5167,5119,4696,4722,4638,4558,4330,4371,4487,4664,4794,4852,4977,4958,5112,5058,5363,5388,5205
Graubünden,2775,2728,2522,2429,2268,2116,2149,2033,1979,2073,2054,2127,2080,2122,2155,2153,2166,2165,2269,2272,2240,2345,2433,2280,2088,2135,2176,2013,2040,2028,2011,1767,1644,1689,1660,1528,1533,1599,1597,1619,1602,1724,1645,1764,1803,1748,1806,1712
Aargau,7668,7175,6758,6465,6421,6092,5595,5504,5381,5553,5779,6028,5932,5771,6006,5818,5865,5923,6252,6440,6447,6553,6602,6275,6233,6232,6266,6190,5915,5775,5756,5252,5394,5463,5558,5495,5531,5511,5915,5822,6258,6163,6404,6423,6687,6707,6979,6914
Thurgau,3160,2980,2792,2756,2648,2446,2267,2239,2269,2304,2388,2416,2527,2494,2600,2688,2666,2710,2907,2906,2975,3065,3017,2936,2914,2880,2828,2749,2560,2491,2554,2200,2249,2155,2225,2109,2199,2258,2187,2310,2396,2340,2425,2489,2664,2785,2866,2809
Tessin,3747,3664,3442,3412,3268,2987,2770,2691,2598,2562,2535,2444,2461,2427,2372,2311,2463,2436,2437,2584,2763,2898,2951,2969,3108,3060,3090,3051,3049,2963,3057,2715,2904,2734,2753,2784,2792,2813,2992,2932,2953,2949,2839,2842,2908,2957,2806,2774
Waadt,6912,7051,7015,6791,6712,6134,5611,5646,5520,5429,5671,5508,5553,5567,5646,5779,6154,6451,6969,7184,7658,8186,8056,7663,7657,7663,7709,7531,7410,7442,7587,7049,6788,6846,7064,7199,7362,7585,7520,8032,8129,7953,8211,8274,8387,8385,8730,8686
Wallis,3838,3803,3781,3691,3498,3225,2979,3028,2820,2815,2919,2902,2869,2885,2865,2947,2996,3024,3267,3280,3569,3561,3784,3505,3494,3403,3411,3206,3152,3063,2991,2875,2690,2645,2652,2814,2771,2723,2880,2876,3096,3107,3045,3142,3198,3247,3274,3259
Neuenburg,2607,2559,2420,2344,2166,2022,1834,1734,1622,1648,1622,1566,1483,1509,1542,1625,1635,1686,1814,1867,2003,1983,2068,2071,1939,1977,1941,2001,1899,1894,1934,1828,1820,1779,1716,1819,1804,1725,1723,1804,1750,1763,1784,1716,1803,1783,1804,1758
Genf,4564,4550,4439,4261,4069,3721,3603,3688,3537,3592,3530,3562,3628,3619,3768,3693,3934,3864,4254,4268,4377,4739,4695,4655,4635,4629,4853,4612,4455,4598,4828,4526,4646,4368,4714,4806,4735,4804,4787,4837,5007,4981,5030,5167,5282,5388,5361,5441
Jura,1199,1072,1114,1169,1033,925,853,837,822,777,807,756,801,736,767,741,823,769,804,821,855,872,922,835,853,848,832,814,857,828,802,769,748,688,686,682,688,607,654,680,678,662,671,680,681,700,684,695